2020-04-21 05:41:56.404 GMT [9644] СООБЩЕНИЕ:  работа системы БД была прервана; последний момент работы: 2020-04-21 05:34:11 GMT
2020-04-21 05:41:56.716 GMT [1176] ВАЖНО:  система баз данных запускается
2020-04-21 05:41:56.741 GMT [8600] ВАЖНО:  система баз данных запускается
2020-04-21 05:41:56.768 GMT [9644] СООБЩЕНИЕ:  система БД была остановлена нештатно; производится автоматическое восстановление
2020-04-21 05:41:56.770 GMT [9644] СООБЩЕНИЕ:  неверная длина записи по смещению 0/373B018: ожидалось 24, получено 0
2020-04-21 05:41:56.770 GMT [9644] СООБЩЕНИЕ:  данные REDO не требуются
2020-04-21 05:41:56.792 GMT [3060] СООБЩЕНИЕ:  система БД готова принимать подключения
2020-04-21 05:45:45.906 GMT [12512] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2020-04-21 05:46:40.766 GMT [7296] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2020-04-21 05:54:53.295 GMT [10368] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2020-04-21 05:55:00.956 GMT [1432] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2020-04-21 05:55:40.404 GMT [5160] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2020-04-21 05:56:24.397 GMT [14120] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2020-04-21 05:58:40.776 GMT [12368] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
